Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP/Capita,Energy Usage/Capita,CO2 Emissions/Capita,Life Expectancy Combined,Tourism Status,lables_1
Afghanistan,0.02053846153846154,49.83846153846154,156326.15384615384,24.153846153846153,75678.30769230769,604447662190.2307,0.07692307692307693,1539.076923076923,292.9230769230769,0.03315384615384615,0.3,0.1401230769230769,73.84615384615384,68.84615384615384,0.5923076923076922,0.2766153846153846,0.6226923076923078,0.10092307692307692,33921642.07692308,0.5032307692307693,8364576923.076923,8474215384.615385,14890.288048780993,0.0017767213948005625,0.0036690316716502377,71.34615384615384,Outbound,0
Albania,0.013153846153846153,48.18538461538461,248056.38461538462,29.661538461538463,100553.23846153847,407546389943.0,0.07481538461538462,1607.1,243.0153846153846,0.00972923076923077,0.38461538461538464,0.10614615384615383,79.23076923076923,72.53846153846153,0.8692307692307693,0.2022650009247419,0.6751573886408588,0.12273145658824544,29883456.46153846,0.6500769230769231,9026107692.307692,7639307692.307693,20860.849603019193,0.019851198864090938,0.007593056809092532,75.88461538461539,Inbound,0
Algeria,0.034846153846153846,48.93846153846154,17518.015384615384,41.76923076923077,19143.23076923077,28790851600.76923,0.05492307692307692,72.38461538461539,387.46153846153845,0.06423076923076923,0.06923076923076923,0.2019,57.30769230769231,54.92307692307692,0.2846153846153846,0.4010769230769231,0.562923076923077,0.03584615384615385,24206846.153846152,0.352,881838461.5384616,785184615.3846154,1702.7080842735827,0.0009912191817140299,0.0010743685596131848,56.11538461538461,Inbound,1
American Samoa,0.018846153846153846,40.17769230769231,34393.38461538462,31.015384615384615,15823.599999999999,52950191510.03077,0.0702153846153846,1069.9461538461537,258.3076923076923,0.016161692307692307,0.27692307692307694,0.13834615384615384,77.31538461538462,72.15384615384616,0.7846153846153846,0.297760771080253,0.630699392666333,0.0713859900995678,5595863.769230769,0.6179230769230769,1940961538.4615386,1104507692.3076923,16040.898431321186,0.04399037187603317,0.006057077547715769,74.73461538461538,Inbound,0
Andorra,0.012874615384615384,44.932307692307695,98914.65384615384,41.353846153846156,41225.68461538462,207629876593.76923,0.06699230769230768,2113.653846153846,318.44615384615383,0.009283076923076915,0.3976923076923077,0.10131538461538461,79.4,72.83076923076922,0.8461538461538461,0.23452154216050605,0.6620910930249738,0.1034642878914433,14976378.538461538,0.7450769230769231,7290200000.0,3982184615.3846154,34357.712984834034,0.06695710566757884,0.009581023420167494,76.11538461538461,Inbound,0
Angola,0.038307692307692306,91.92307692307692,4744.307692307692,34.46153846153846,14485.023076923077,12442216704.0,0.0706923076923077,56.30769230769231,208.07692307692307,0.0766923076923077,0.05384615384615385,0.2201,56.30769230769231,54.15384615384615,0.22307692307692306,0.4256153846153846,0.5418461538461539,0.032615384615384616,16006223.76923077,0.35776923076923073,341607692.3076923,194607692.30769232,820.2377366658584,0.0015407620566254357,0.00038096936767413765,55.23076923076923,Inbound,1
Antigua and Barbuda,0.019666666666666666,47.300000000000004,62908.98333333334,42.666666666666664,29234.983333333334,100647286989.95833,0.0658,756.2333333333332,248.75,0.01755083333333333,0.25,0.13590833333333333,74.33333333333333,69.08333333333333,0.6749999999999999,0.29728708433513706,0.6315038376942638,0.07120907797059924,8000334.75,0.5726666666666667,2060000000.0,1881641666.6666667,10307.269398298717,0.004227661054586723,0.00675025773796191,71.70833333333333,Inbound,0
Argentina,0.020833333333333332,44.27,460278.6666666667,34.06666666666667,192092.375,1230128392449.1084,0.06787499999999999,1653.6083333333333,299.175,0.020326416666666666,0.225,0.12759166666666666,75.3,70.54166666666667,0.5416666666666666,0.30924083533694074,0.6277576753885274,0.06308482260786512,33966477.75,0.61525,13125250000.0,9162566666.666666,16010.81138370092,0.04851976256380192,0.006377583916344398,72.92083333333333,Inbound,2
Armenia,0.015615384615384614,43.646153846153844,116343.23076923077,38.23076923076923,47983.230769230766,325729639799.7692,0.05696923076923077,689.2230769230769,372.61538461538464,0.01990923076923077,0.27692307692307694,0.1444,76.23076923076923,69.23076923076923,0.6461538461538462,0.23784615384615385,0.6639999999999999,0.09823076923076922,28272137.46153846,0.5923846153846154,7821000000.0,9426923076.923077,9974.617102824634,0.0024592155954365836,0.006096789525126296,72.73076923076923,Outbound,0
Aruba,0.023999999999999997,45.475,49917.73333333334,46.916666666666664,21709.566666666666,109322613545.54167,0.06163333333333334,537.9,342.25,0.031151666666666657,0.165,0.13115833333333332,71.66666666666667,66.0,0.5666666666666667,0.33008333333333334,0.6075833333333334,0.06241666666666667,17139456.916666668,0.6315833333333333,1803891666.6666667,1119750000.0,7281.547737593893,0.002281709229118334,0.0023720361707716014,68.83333333333333,Inbound,1
